Lat,Long
44.693925,-124.453488
44.694852,-124.449537
44.695130,-124.448402
44.697088,-124.439707
44.697497,-124.438000
44.703652,-124.411675
44.708323,-124.391832
44.709480,-124.382475
44.709163,-124.374852
44.707885,-124.367603
44.705473,-124.361407
44.702657,-124.354848
44.700753,-124.350468
44.700620,-124.350257
44.698180,-124.346372
44.695067,-124.342743
44.678828,-124.332262
44.642730,-124.308928
44.641435,-124.308128
44.640188,-124.307308
44.638428,-124.306260
44.637512,-124.305694
44.637304,-124.305619
45.202300,-123.967150
45.200572,-123.978472
45.199417,-123.986033
45.199375,-123.986270
45.198697,-123.990073
45.195385,-124.010113
45.192752,-124.027862
45.192673,-124.029107
45.192673,-124.029107
45.192690,-124.029448
45.193055,-124.036672
45.195150,-124.047807
45.195692,-124.057223
45.196178,-124.065677
45.197177,-124.099163
45.195710,-124.128925
45.192705,-124.189947
45.194673,-124.220432
45.202502,-124.253948
45.207515,-124.272712
45.210065,-124.282253
45.214302,-124.301483
45.218990,-124.331402
45.221438,-124.352733
45.233443,-124.408548
45.239952,-124.452295
45.264328,-124.568088
45.273782,-124.613012
45.279313,-124.635288
45.280533,-124.655062
45.277998,-124.675283
45.271855,-124.694083
45.261015,-124.718342
45.253655,-124.731567
45.242937,-124.749883
45.242548,-124.750632
45.242410,-124.751018
45.234305,-124.773797
45.229725,-124.798027
45.226618,-124.825532
45.226443,-124.854995
45.230295,-124.880652
45.232250,-124.889492
45.236617,-124.903080
45.242725,-124.919833
45.244650,-124.923512
45.244667,-124.923537
45.255877,-124.940888
45.256032,-124.941128
45.266397,-124.957305
45.273275,-124.971955
45.273435,-124.972295
45.283117,-124.993602
45.284032,-124.996413
45.287963,-125.008500
45.296683,-125.030913
45.298183,-125.037875
45.298252,-125.038617
45.298328,-125.039435
45.298422,-125.040865
45.299210,-125.076387
45.299210,-125.076387
45.299605,-125.091283
45.298815,-125.101812
45.298375,-125.104907
45.295382,-125.119342
45.285710,-125.154227
45.283758,-125.165410
45.282307,-125.183485
45.280557,-125.218285
45.280673,-125.227697
45.282568,-125.254662
45.284590,-125.277877
45.286347,-125.298037
45.287873,-125.317832
45.289325,-125.327152
45.294028,-125.347795
45.308888,-125.406598
45.331257,-125.495142
45.331257,-125.495142
45.334448,-125.504917
45.337027,-125.511627
45.346847,-125.532980
45.380650,-125.599495
45.384960,-125.608813
45.392005,-125.624048
45.409447,-125.666807
45.418888,-125.692755
45.421793,-125.701560
45.429620,-125.728062
45.483358,-125.941690
45.570850,-126.292842
45.596542,-126.396063
45.713153,-126.864967
45.734505,-126.949563
45.757777,-127.045927
45.775588,-127.117588
45.779095,-127.129805
45.785573,-127.152377
45.785713,-127.153115
45.787003,-127.159958
45.787220,-127.161533
45.787517,-127.163005
45.801200,-127.224938
45.802415,-127.231900
45.803428,-127.240157
45.803730,-127.247303
45.802790,-127.252717
45.800590,-127.259375
45.797922,-127.264800
45.792832,-127.268963
45.786198,-127.272257
45.777728,-127.275888
45.773602,-127.277222
45.756468,-127.278388
45.755555,-127.278438
45.755555,-127.278438
45.756435,-127.278428
45.756465,-127.278428
